    Station Name,Address,Division,Section,Phone,Latitude,Longitude,Name/Addr Source,Phone Source,Coord Source,Name/Addr Confidence,Phone Confidence,Coord Confidence
    Shibpur PS,"Shibpur Tram Depot Area","Howrah City Police","Central Division","033-2668-2233",22.5610,88.3082,"Howrah Police","Howrah Police","OpenStreetMap","Medium","Medium","Medium"
    Golabari PS,"Netaji Subhas Road, Howrah","Howrah City Police","Central Division","033-2641-2200",22.5905,88.3312,"Howrah Police","Howrah Police","OpenStreetMap","Medium","Medium","Medium"
    Belur PS,"Belur Math Road","Howrah City Police","North Division","033-2654-2210",22.6329,88.3550,"Howrah Police","Howrah Police","OpenStreetMap","Medium","Medium","Medium"
    Nischinda PS,"Nischinda GT Road","Howrah City Police","North Division","033-2655-8877",22.6202,88.3261,"Howrah Police","Howrah Police","OpenStreetMap","Medium","Medium","Medium"
    Uttarpara PS,"Uttarpara GT Road","Chandannagar Commissionerate","Serampore Subdivision","033-2663-2211",22.6703,88.3468,"Chandannagar Police","Chandannagar Police","OpenStreetMap","Medium","Medium","Medium"
    Rishra PS,"Rishra Station Road","Chandannagar Commissionerate","Serampore Subdivision","033-2672-2200",22.7248,88.3459,"Chandannagar Police","Chandannagar Police","OpenStreetMap","Medium","Medium","Medium"
    Konnagar PS,"Konnagar GT Road","Chandannagar Commissionerate","Serampore Subdivision","033-2674-2233",22.6991,88.3450,"Chandannagar Police","Chandannagar Police","OpenStreetMap","Medium","Medium","Medium"
    Bhadreswar PS,"Bhadreswar Station Road","Chandannagar Commissionerate","Chandannagar Division","033-2633-2200",22.8248,88.3387,"Chandannagar Police","Chandannagar Police","OpenStreetMap","Medium","Medium","Medium"
    Chandannagar PS,"Strand Road, Chandannagar","Chandannagar Commissionerate","Chandannagar Division","033-2683-2200",22.8625,88.3679,"Chandannagar Police","Chandannagar Police","OpenStreetMap","Medium","Medium","Medium"
    Kalyani PS,"Kalyani Main Road, Nadia, West Bengal","Ranaghat Police District","Kalyani Division","033-2582-2200",22.9750,88.4345,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Kalyani Highway Outpost,"NH12 Kalyani Expressway Connector, Nadia","Ranaghat Police District","Highway Patrol","033-2582-2211",22.9821,88.4510,"West Bengal Police","West Bengal Police","OpenStreetMap","Low","Low","Medium"
    Haringhata PS,"Haringhata More, Nadia, West Bengal","Ranaghat Police District","Haringhata Section","03216-244222",22.9642,88.5673,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Bongaon PS,"Bongaon Station Road, North 24 Parganas","Bongaon Police District","Bongaon Division","03215-255100",23.0456,88.8302,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Petrapole PS,"Petrapole Border Area, North 24 Parganas","Bongaon Police District","Border Section","03215-250222",23.0441,88.8428,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Gaighata PS,"Gaighata Bazar, North 24 Parganas","Bongaon Police District","Gaighata Section","03215-246222",23.1028,88.7604,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Basirhat PS,"Basirhat Court Area, North 24 Parganas","Basirhat Police District","Basirhat Division","03217-266222",22.6578,88.8671,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Taki PS,"Taki Municipality Area, North 24 Parganas","Basirhat Police District","Taki Section","03217-234222",22.5884,88.9210,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Hasnabad PS,"Hasnabad Ferry Ghat Area, North 24 Parganas","Basirhat Police District","Hasnabad Section","03217-262222",22.5695,88.9835,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Diamond Harbour PS,"Diamond Harbour Road, South 24 Parganas","Diamond Harbour Police District","Diamond Harbour Division","03174-255222",22.1936,88.1904,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Falta PS,"Falta SEZ Area, South 24 Parganas","Diamond Harbour Police District","Falta Section","03174-233222",22.2965,88.1091,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Mandirbazar PS,"Mandirbazar Main Road, South 24 Parganas","Diamond Harbour Police District","Mandirbazar Section","03174-252222",22.1912,88.4125,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Durgapur PS,"Benachity, Durgapur, Paschim Bardhaman","Asansol-Durgapur Police Commissionerate","Durgapur Division","0343-2546000",23.5204,87.3119,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Coke Oven PS,"Coke Oven Colony, Durgapur","Asansol-Durgapur Police Commissionerate","Industrial Zone","0343-2552200",23.5482,87.2925,"West Bengal Police","West Bengal Police","OpenStreetMap","Low","Low","Medium"
    Asansol South PS,"Hill View Area, Asansol","Asansol-Durgapur Police Commissionerate","South Division","0341-2252200",23.6739,86.9524,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Asansol North PS,"Burnpur Road, Asansol","Asansol-Durgapur Police Commissionerate","North Division","0341-2302200",23.6958,86.9742,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Sealdah GRP,"Sealdah Railway Station Complex, Kolkata","Government Railway Police","Sealdah Section","033-23503535",22.5676,88.3702,"Eastern Railway","Eastern Railway","OpenStreetMap","High","High","Medium"
    Howrah GRP,"Howrah Railway Station Complex, Howrah","Government Railway Police","Howrah Section","033-26412600",22.5830,88.3376,"Eastern Railway","Eastern Railway","OpenStreetMap","High","High","Medium"
    Dum Dum GRP,"Dum Dum Junction Railway Station","Government Railway Police","Dum Dum Section","033-25512020",22.6427,88.4318,"Eastern Railway","Eastern Railway","OpenStreetMap","Medium","Medium","Medium"
    Bidhannagar GRP,"Bিধাননগর Road Railway Station Area","Government Railway Police","Salt Lake Rail Section","033-23554040",22.5798,88.4002,"Eastern Railway","Eastern Railway","OpenStreetMap","Medium","Medium","Medium"
    Barrackpore GRP,"Barrackpore Railway Station Area","Government Railway Police","Barrackpore Rail Section","033-25922020",22.7661,88.3718,"Eastern Railway","Eastern Railway","OpenStreetMap","Medium","Medium","Medium"
